valor (%),extracted_value,link,serpapi_link,termo,texto,período
42,42,https://trends.google.com/trends/explore?q=energia+solar+fotovoltaica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=energia+solar+fotovoltaica&tz=180,Energia Solar,energia solar fotovoltaica,1 ano
41,41,https://trends.google.com/trends/explore?q=sistema+de+energia+solar&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=sistema+de+energia+solar&tz=180,Energia Solar,sistema de energia solar,1 ano
40,40,https://trends.google.com/trends/explore?q=energia+fotovoltaica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=energia+fotovoltaica&tz=180,Energia Solar,energia fotovoltaica,1 ano
40,40,https://trends.google.com/trends/explore?q=empresa+de+energia+solar&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=empresa+de+energia+solar&tz=180,Energia Solar,empresa de energia solar,1 ano
38,38,https://trends.google.com/trends/explore?q=luz+energia+solar&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=luz+energia+solar&tz=180,Energia Solar,luz energia solar,1 ano
38,38,https://trends.google.com/trends/explore?q=energia+solar+no+brasil&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=energia+solar+no+brasil&tz=180,Energia Solar,energia solar no brasil,1 ano
37,37,https://trends.google.com/trends/explore?q=usina+solar&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=usina+solar&tz=180,Energia Solar,usina solar,1 ano
37,37,https://trends.google.com/trends/explore?q=energia+solar+vantagens&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=energia+solar+vantagens&tz=180,Energia Solar,energia solar vantagens,1 ano
37,37,https://trends.google.com/trends/explore?q=usina+energia+solar&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=usina+energia+solar&tz=180,Energia Solar,usina energia solar,1 ano
36,36,https://trends.google.com/trends/explore?q=energia+solar+pre%C3%A7o&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=energia+solar+pre%C3%A7o&tz=180,Energia Solar,energia solar preço,1 ano
36,36,https://trends.google.com/trends/explore?q=energia+e%C3%B3lica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=energia+e%C3%B3lica&tz=180,Energia Solar,energia eólica,1 ano
