Periodo,termo,valor (%)
2021-10-10,Eficiência Energética,1
2021-10-10,Energia Elétrica,30
2021-10-10,Energia Solar,71
2021-10-10,Energia Eólica,7
2021-10-17,Eficiência Energética,1
2021-10-17,Energia Elétrica,48
2021-10-17,Energia Solar,71
2021-10-17,Energia Eólica,11
2021-10-24,Eficiência Energética,0
2021-10-24,Energia Elétrica,45
2021-10-24,Energia Solar,75
2021-10-24,Energia Eólica,10
2021-10-31,Eficiência Energética,1
2021-10-31,Energia Elétrica,36
2021-10-31,Energia Solar,70
2021-10-31,Energia Eólica,9
2021-11-07,Eficiência Energética,2
2021-11-07,Energia Elétrica,41
2021-11-07,Energia Solar,79
2021-11-07,Energia Eólica,11
2021-11-14,Eficiência Energética,1
2021-11-14,Energia Elétrica,41
2021-11-14,Energia Solar,65
2021-11-14,Energia Eólica,10
2021-11-21,Eficiência Energética,2
2021-11-21,Energia Elétrica,46
2021-11-21,Energia Solar,72
2021-11-21,Energia Eólica,13
2021-11-28,Eficiência Energética,2
2021-11-28,Energia Elétrica,45
2021-11-28,Energia Solar,71
2021-11-28,Energia Eólica,11
2021-12-05,Eficiência Energética,1
2021-12-05,Energia Elétrica,36
2021-12-05,Energia Solar,66
2021-12-05,Energia Eólica,7
2021-12-12,Eficiência Energética,1
2021-12-12,Energia Elétrica,26
2021-12-12,Energia Solar,56
2021-12-12,Energia Eólica,5
2021-12-19,Eficiência Energética,1
2021-12-19,Energia Elétrica,16
2021-12-19,Energia Solar,47
2021-12-19,Energia Eólica,2
2021-12-26,Eficiência Energética,1
2021-12-26,Energia Elétrica,17
2021-12-26,Energia Solar,51
2021-12-26,Energia Eólica,2
2022-01-02,Eficiência Energética,1
2022-01-02,Energia Elétrica,23
2022-01-02,Energia Solar,68
2022-01-02,Energia Eólica,3
2022-01-09,Eficiência Energética,1
2022-01-09,Energia Elétrica,22
2022-01-09,Energia Solar,73
2022-01-09,Energia Eólica,2
2022-01-16,Eficiência Energética,1
2022-01-16,Energia Elétrica,25
2022-01-16,Energia Solar,72
2022-01-16,Energia Eólica,3
2022-01-23,Eficiência Energética,1
2022-01-23,Energia Elétrica,25
2022-01-23,Energia Solar,74
2022-01-23,Energia Eólica,3
2022-01-30,Eficiência Energética,1
2022-01-30,Energia Elétrica,24
2022-01-30,Energia Solar,65
2022-01-30,Energia Eólica,3
2022-02-06,Eficiência Energética,1
2022-02-06,Energia Elétrica,28
2022-02-06,Energia Solar,64
2022-02-06,Energia Eólica,4
2022-02-13,Eficiência Energética,1
2022-02-13,Energia Elétrica,38
2022-02-13,Energia Solar,74
2022-02-13,Energia Eólica,7
2022-02-20,Eficiência Energética,1
2022-02-20,Energia Elétrica,39
2022-02-20,Energia Solar,77
2022-02-20,Energia Eólica,8
2022-02-27,Eficiência Energética,1
2022-02-27,Energia Elétrica,30
2022-02-27,Energia Solar,70
2022-02-27,Energia Eólica,6
2022-03-06,Eficiência Energética,2
2022-03-06,Energia Elétrica,47
2022-03-06,Energia Solar,77
2022-03-06,Energia Eólica,10
2022-03-13,Eficiência Energética,2
2022-03-13,Energia Elétrica,49
2022-03-13,Energia Solar,82
2022-03-13,Energia Eólica,11
2022-03-20,Eficiência Energética,3
2022-03-20,Energia Elétrica,50
2022-03-20,Energia Solar,85
2022-03-20,Energia Eólica,11
2022-03-27,Eficiência Energética,2
2022-03-27,Energia Elétrica,55
2022-03-27,Energia Solar,86
2022-03-27,Energia Eólica,13
2022-04-03,Eficiência Energética,3
2022-04-03,Energia Elétrica,58
2022-04-03,Energia Solar,82
2022-04-03,Energia Eólica,12
2022-04-10,Eficiência Energética,2
2022-04-10,Energia Elétrica,36
2022-04-10,Energia Solar,69
2022-04-10,Energia Eólica,7
2022-04-17,Eficiência Energética,2
2022-04-17,Energia Elétrica,39
2022-04-17,Energia Solar,67
2022-04-17,Energia Eólica,8
2022-04-24,Eficiência Energética,3
2022-04-24,Energia Elétrica,51
2022-04-24,Energia Solar,82
2022-04-24,Energia Eólica,11
2022-05-01,Eficiência Energética,3
2022-05-01,Energia Elétrica,44
2022-05-01,Energia Solar,78
2022-05-01,Energia Eólica,12
2022-05-08,Eficiência Energética,3
2022-05-08,Energia Elétrica,44
2022-05-08,Energia Solar,75
2022-05-08,Energia Eólica,13
2022-05-15,Eficiência Energética,2
2022-05-15,Energia Elétrica,40
2022-05-15,Energia Solar,76
2022-05-15,Energia Eólica,11
2022-05-22,Eficiência Energética,2
2022-05-22,Energia Elétrica,42
2022-05-22,Energia Solar,75
2022-05-22,Energia Eólica,12
2022-05-29,Eficiência Energética,2
2022-05-29,Energia Elétrica,41
2022-05-29,Energia Solar,74
2022-05-29,Energia Eólica,12
2022-06-05,Eficiência Energética,2
2022-06-05,Energia Elétrica,39
2022-06-05,Energia Solar,68
2022-06-05,Energia Eólica,11
2022-06-12,Eficiência Energética,1
2022-06-12,Energia Elétrica,40
2022-06-12,Energia Solar,68
2022-06-12,Energia Eólica,10
2022-06-19,Eficiência Energética,2
2022-06-19,Energia Elétrica,48
2022-06-19,Energia Solar,75
2022-06-19,Energia Eólica,12
2022-06-26,Eficiência Energética,1
2022-06-26,Energia Elétrica,40
2022-06-26,Energia Solar,71
2022-06-26,Energia Eólica,9
2022-07-03,Eficiência Energética,1
2022-07-03,Energia Elétrica,30
2022-07-03,Energia Solar,63
2022-07-03,Energia Eólica,6
2022-07-10,Eficiência Energética,1
2022-07-10,Energia Elétrica,25
2022-07-10,Energia Solar,57
2022-07-10,Energia Eólica,5
2022-07-17,Eficiência Energética,1
2022-07-17,Energia Elétrica,23
2022-07-17,Energia Solar,60
2022-07-17,Energia Eólica,4
2022-07-24,Eficiência Energética,1
2022-07-24,Energia Elétrica,25
2022-07-24,Energia Solar,65
2022-07-24,Energia Eólica,5
2022-07-31,Eficiência Energética,1
2022-07-31,Energia Elétrica,31
2022-07-31,Energia Solar,68
2022-07-31,Energia Eólica,7
2022-08-07,Eficiência Energética,2
2022-08-07,Energia Elétrica,35
2022-08-07,Energia Solar,63
2022-08-07,Energia Eólica,8
2022-08-14,Eficiência Energética,2
2022-08-14,Energia Elétrica,40
2022-08-14,Energia Solar,67
2022-08-14,Energia Eólica,10
2022-08-21,Eficiência Energética,2
2022-08-21,Energia Elétrica,42
2022-08-21,Energia Solar,73
2022-08-21,Energia Eólica,11
2022-08-28,Eficiência Energética,2
2022-08-28,Energia Elétrica,43
2022-08-28,Energia Solar,72
2022-08-28,Energia Eólica,11
2022-09-04,Eficiência Energética,2
2022-09-04,Energia Elétrica,31
2022-09-04,Energia Solar,62
2022-09-04,Energia Eólica,9
2022-09-11,Eficiência Energética,2
2022-09-11,Energia Elétrica,39
2022-09-11,Energia Solar,71
2022-09-11,Energia Eólica,12
2022-09-18,Eficiência Energética,2
2022-09-18,Energia Elétrica,45
2022-09-18,Energia Solar,62
2022-09-18,Energia Eólica,13
2022-09-25,Eficiência Energética,1
2022-09-25,Energia Elétrica,39
2022-09-25,Energia Solar,69
2022-09-25,Energia Eólica,10
2022-10-02,Eficiência Energética,1
2022-10-02,Energia Elétrica,31
2022-10-02,Energia Solar,56
2022-10-02,Energia Eólica,8
2022-10-09,Eficiência Energética,1
2022-10-09,Energia Elétrica,28
2022-10-09,Energia Solar,61
2022-10-09,Energia Eólica,8
2022-10-16,Eficiência Energética,2
2022-10-16,Energia Elétrica,40
2022-10-16,Energia Solar,69
2022-10-16,Energia Eólica,12
2022-10-23,Eficiência Energética,4
2022-10-23,Energia Elétrica,40
2022-10-23,Energia Solar,74
2022-10-23,Energia Eólica,14
2022-10-30,Eficiência Energética,1
2022-10-30,Energia Elétrica,35
2022-10-30,Energia Solar,68
2022-10-30,Energia Eólica,16
2022-11-06,Eficiência Energética,3
2022-11-06,Energia Elétrica,43
2022-11-06,Energia Solar,71
2022-11-06,Energia Eólica,14
2022-11-13,Eficiência Energética,2
2022-11-13,Energia Elétrica,39
2022-11-13,Energia Solar,74
2022-11-13,Energia Eólica,12
2022-11-20,Eficiência Energética,2
2022-11-20,Energia Elétrica,39
2022-11-20,Energia Solar,72
2022-11-20,Energia Eólica,12
2022-11-27,Eficiência Energética,2
2022-11-27,Energia Elétrica,34
2022-11-27,Energia Solar,70
2022-11-27,Energia Eólica,10
2022-12-04,Eficiência Energética,1
2022-12-04,Energia Elétrica,29
2022-12-04,Energia Solar,58
2022-12-04,Energia Eólica,7
2022-12-11,Eficiência Energética,1
2022-12-11,Energia Elétrica,27
2022-12-11,Energia Solar,67
2022-12-11,Energia Eólica,6
2022-12-18,Eficiência Energética,1
2022-12-18,Energia Elétrica,17
2022-12-18,Energia Solar,55
2022-12-18,Energia Eólica,3
2022-12-25,Eficiência Energética,1
2022-12-25,Energia Elétrica,13
2022-12-25,Energia Solar,53
2022-12-25,Energia Eólica,3
2023-01-01,Eficiência Energética,1
2023-01-01,Energia Elétrica,17
2023-01-01,Energia Solar,72
2023-01-01,Energia Eólica,3
2023-01-08,Eficiência Energética,1
2023-01-08,Energia Elétrica,21
2023-01-08,Energia Solar,64
2023-01-08,Energia Eólica,2
2023-01-15,Eficiência Energética,1
2023-01-15,Energia Elétrica,19
2023-01-15,Energia Solar,60
2023-01-15,Energia Eólica,2
2023-01-22,Eficiência Energética,1
2023-01-22,Energia Elétrica,18
2023-01-22,Energia Solar,59
2023-01-22,Energia Eólica,3
2023-01-29,Eficiência Energética,1
2023-01-29,Energia Elétrica,20
2023-01-29,Energia Solar,58
2023-01-29,Energia Eólica,3
2023-02-05,Eficiência Energética,1
2023-02-05,Energia Elétrica,28
2023-02-05,Energia Solar,65
2023-02-05,Energia Eólica,5
2023-02-12,Eficiência Energética,2
2023-02-12,Energia Elétrica,31
2023-02-12,Energia Solar,66
2023-02-12,Energia Eólica,6
